"","course_name_830","prior_knowl_percent","awake_rating","attendance_percent","on_time_percentage","teach_perf_rating_830","sleep_total_830","transport_method_830","commute_time_830","wake_time_830","gpa_830","class_avg_gpa_830","learn_effectiveness_830","course_name_n830","prior_knowl_percent_n830","start_time_n830","also_had_830class_n830","awake_rating_n830","attendance_percent_n830","on_time_percent_n830","teach_perf_rating_n830","sleep_total_n830","transport_method_n830","commute_time_n830","wake_time_n830","gpa_n830","class_avg_gpa_n830","learn_effectiveness_n830"
"87","STATS 221",70,5,99,99,4,6,"Walking",7,2018-02-26 07:45:00,3.7,NA,3,"AIS 102",10,2018-02-26 11:30:00,"Yes",5,99,100,4,6,"Walking",12,2018-02-26 07:45:00,4,NA,5
"88","STATS 221",70,5,99,99,4,6,"Walking",7,2018-02-26 07:45:00,3.7,NA,3,"AIS 102",10,2018-02-26 11:30:00,"Yes",5,99,100,4,6,"Walking",12,2018-02-26 07:45:00,4,NA,5
"89","CHEM 142",30,4,80,100,4,7,"Walking",10,2018-02-26 07:30:00,1.8,2.7,3,"GEOG 205",20,2018-02-26 10:30:00,"No",5,95,100,5,6,"Walking",15,2018-02-26 08:30:00,3.2,NA,5
"90","EE 233",30,5,100,98,4,5,"Walking",15,2018-02-26 06:30:00,3.9,3.4,4,"EE 271",5,2018-02-26 12:30:00,"Yes",5,100,100,3,5,"Walking",15,2018-02-26 06:30:00,4,NA,4
"91","ECON 200",20,3,25,50,2,7,"Walking",15,2018-02-26 07:30:00,2.7,NA,1,"ECON 201",25,2018-02-26 01:30:00,"No",3,100,100,1,7,"Walking",5,2018-02-26 08:45:00,1.2,NA,1
"92","Chem 220",0,4,90,100,3,7,"pub_transport",60,2018-02-26 05:00:00,2,NA,3,"MATH 120",NA,2018-02-26 01:30:00,"Yes",3,90,100,5,7,"pub_transport",60,2018-02-26 05:00:00,3.7,NA,4
"93","CHEM 142",90,4,90,100,4,6,"Walking",10,2018-02-26 07:30:00,3.8,NA,2,"MATH 324",30,2018-02-26 03:30:00,"Yes",4,100,100,3,6,"Walking",2,2018-02-26 07:30:00,4,NA,4
"94","INFO 343",10,4,100,100,3,6,"Walking",15,2018-02-26 07:00:00,3.9,NA,3,"INFO 200",0,2018-02-26 04:30:00,"Yes",4,95,90,3,6,"Walking",15,2018-02-26 07:00:00,3.7,NA,3
"95","PSYCH 318",30,3,50,30,2,4,"pub_transport",25,2018-02-26 06:45:00,3.1,NA,2,"SPH 381",60,2018-02-26 11:30:00,"No",4,90,90,4,6,"pub_transport",25,2018-02-26 09:00:00,3.7,NA,4
"96","ECON 200",70,4,80,50,4,7,"Walking",10,2018-02-26 08:00:00,4,NA,3,"ECON 201",20,2018-02-26 10:00:00,"No",4,90,50,4,9,"Walking",10,2018-02-26 09:50:00,3.6,NA,4
"97","HIST 314",50,3,90,90,4,6,"pub_transport",45,2018-02-26 06:30:00,3.5,NA,3,"HIST 440",50,2018-02-26 01:00:00,"No",4,100,95,4,7,"pub_transport",45,2018-02-26 08:30:00,3.3,NA,4
"98","ENGL 121",10,2,85,55,2,5,"Walking",10,2018-02-26 07:30:00,3.8,NA,1,"ECFS 200",50,2018-02-26 08:30:00,"No",2,20,10,5,5,"Walking",5,2018-02-26 07:30:00,4,NA,2
"99","MATH 124",10,2,100,100,4,3,"pub_transport",2,2018-02-26 05:30:00,3,NA,3,"CHEM 162",10,2018-02-26 10:30:00,"Yes",3,100,100,4,3,"pub_transport",2,2018-02-26 05:30:00,3.7,NA,4
"100","HCDE 313",0,2,25,25,4,5,"Walking",20,2018-02-26 07:00:00,3.1,NA,4,"HCDE 318",80,2018-02-26 02:30:00,"No",4,80,75,3,8,"Walking",40,2018-02-26 12:00:00,3.5,NA,2
"101","STAT 220",60,3,100,85,5,6,"Driving",15,2018-02-26 07:20:00,4,NA,4,"MATH 124",20,2018-02-26 10:30:00,"No",5,100,100,5,7,"Driving",15,2018-02-26 09:00:00,4,NA,5
"102","SOC 260",80,2,90,100,4,3,"pub_transport",10,2018-02-26 07:20:00,3.8,NA,3,"BIOL 180",40,2018-02-26 11:30:00,"No",3,70,100,4,6,"pub_transport",10,2018-02-26 09:00:00,3.5,NA,4
"103","ECON 200",5,3,95,80,2,5,"pub_transport",15,2018-02-26 07:15:00,1.8,NA,2,"ACCTG 215",5,2018-02-26 10:30:00,"Yes",4,99,99,5,5,"pub_transport",15,2018-02-26 07:15:00,2.9,3.1,3
"104","SPAN 203",40,3,80,50,5,6,"Walking",15,2018-02-26 07:30:00,2.7,NA,4,"ANTH 367",0,2018-02-26 11:30:00,"No",5,90,90,2,6,"Walking",15,2018-02-26 08:30:00,3.7,NA,4
"105","HONORS 394",30,2,100,50,4,6,"pub_transport",40,2018-02-26 07:00:00,3.9,NA,3,"HONORS 394",10,2018-02-26 10:30:00,"No",4,100,90,3,7.5,"pub_transport",40,2018-02-26 09:00:00,3.9,NA,4
"106","ENGL 353",0,3,90,100,4,6,"Walking",15,2018-02-26 07:00:00,3.9,NA,2,"ENGL 302",0,2018-02-26 12:30:00,"Yes",5,100,100,3,6,"Walking",10,2018-02-26 07:00:00,3.8,NA,3
"107","CHEM 142",30,5,100,100,5,7,"Walking",5,2018-02-26 07:30:00,3.6,2.6,4,"MATH 126",90,2018-02-26 09:30:00,"Yes",4,100,100,2,7,"Walking",5,2018-02-26 07:30:00,3.7,2.6,2
"108","ENV H 501",50,4,100,95,3,8,"pub_transport",30,2018-02-26 07:15:00,4,NA,4,"ENV H 551",30,2018-02-26 03:00:00,"Yes",3,80,100,3,8,"Walking",30,2018-02-26 08:30:00,3.8,NA,2
"109","CHEM 120",20,4,100,100,4,8,"Walking",10,2018-02-26 06:30:00,3.6,2.6,4,"OCEAN101",10,2018-02-26 12:30:00,"Yes",5,100,100,4,8,"Walking",10,2018-02-26 06:30:00,4,NA,5
"110","ECON 382",20,2,75,100,4,6,"pub_transport",20,2018-02-26 07:00:00,3.4,NA,3,"ECON 425",20,2018-02-26 11:30:00,"No",4,100,100,4,9,"pub_transport",15,2018-02-26 10:00:00,3.8,NA,5
"111","CHEM 238",3,4,100,100,4,6,"Walking",15,2018-02-26 06:45:00,3.3,NA,4,"BIOL 200",55,2018-02-26 10:30:00,"Yes",5,100,100,5,6,"Walking",14,2018-02-26 06:30:00,3.5,NA,5
"112","JPN 312",50,4,100,100,5,7,"Walking",10,2018-02-26 07:20:00,3.8,NA,4,"BIOL 180",40,2018-02-26 02:30:00,"Yes",3,100,100,1,7,"Walking",10,2018-02-26 07:20:00,3.6,2.9,2
"113","POLS 371",10,5,90,100,5,6,"pub_transport",15,2018-02-26 07:15:00,3,NA,4,"POLS 327",20,2018-02-26 01:30:00,"No",5,100,100,4,8,"pub_transport",15,2018-02-26 09:30:00,3.7,NA,3
"114","ECON 200",10,3,80,95,2,7,"pub_transport",15,2018-02-26 07:00:00,2.9,NA,2,"JAPAN 111",10,2018-02-26 10:30:00,"No",5,95,100,5,8,"pub_transport",15,2018-02-26 09:00:00,3.9,NA,5
"115","EE 235",50,3,70,60,4,5,"Walking",30,2018-02-26 07:00:00,3.5,NA,3,"EE 233",30,2018-02-26 11:30:00,"No",4,90,90,5,7,"Walking",30,2018-02-26 09:00:00,3.7,NA,5
"116","Psych 322",8,4,95,100,5,8,"Driving",25,2018-02-26 06:45:00,3.8,NA,5,"PSYCH 300",2,2018-02-26 11:30:00,"No",4,90,100,4,8,"Driving",25,2018-02-26 09:30:00,3.3,NA,4
"117","Psych 322",8,4,95,100,5,8,"Driving",25,2018-02-26 06:45:00,3.8,NA,5,"PSYCH 300",2,2018-02-26 11:30:00,"No",4,90,100,4,8,"Driving",25,2018-02-26 09:30:00,3.3,NA,4
